id,status,area,name,addr,type,layout,price,floor,parking,pets,description,photos,tag_subsidy,tag_cat,tag_dog,tag_elevator,tag_parking,tag_balcony,tag_flatutility
a,demo,北屯區,示意物件 A,示意地址一段,住宅,1房1廳,15000,〔5F／12F〕,〔無〕,〔可討論〕,〔物件描述文字，之後可以填入這個物件的特色、周邊環境、格局說明等〕,,1,1,,1,,,
b,demo,西屯區,示意物件 B,示意地址二段,住宅,2房1廳,22000,〔8F／15F〕,〔平面一位〕,〔可討論〕,〔物件描述文字，之後可以填入這個物件的特色、周邊環境、格局說明等〕,,1,,1,,1,1,
c,demo,南屯區,示意物件 C,示意地址三段,住宅,套房,11000,〔3F／7F〕,〔無〕,〔不可養寵物〕,〔物件描述文字，之後可以填入這個物件的特色、周邊環境、格局說明等〕,,,,,1,,1,
d,demo,北區,示意物件 D,示意地址四段,住宅,1房1廳,18000,〔6F／10F〕,〔無〕,〔可討論〕,〔物件描述文字，之後可以填入這個物件的特色、周邊環境、格局說明等〕,,1,1,1,,,1,
e,demo,大里區,示意物件 E,示意地址五段,住宅,3房2廳,28000,〔4F／6F〕,〔平面一位〕,〔可討論〕,〔物件描述文字，之後可以填入這個物件的特色、周邊環境、格局說明等〕,,1,,,1,1,,1
f,demo,豐原區,示意物件 F,示意地址六段,住宅,套房,12500,〔2F／5F〕,〔無〕,〔不可養寵物〕,〔物件描述文字，之後可以填入這個物件的特色、周邊環境、格局說明等〕,,,,,,,1,
b3a,withdrawn,太平區,左B棟-3A,中山路四段,住宅,電梯透天套房,11500,3F,機車位一間一格,禁寵,電費5元/度，水費、網路、第四台、飲水機、垃圾處理費皆已包含在租金內。特色：電梯、沙發、系統櫃、陽台獨立洗曬、洗衣機。禁菸。需附工作證或在校學生證。套房退租清潔費1500元。,1.jpg|2.jpg|3.jpg|4.jpg|5.jpg|6.jpg,1,,,1,1,1,
w12f11,published,西區,鴻福名人華廈 12F-11,五權路,住宅,電梯套房,13500,12F,〔待補充〕,可養寵物,管理費已包含在租金內。電費台電計價，水費台水計價，無提供網路，無第四台。洗衣機在陽台，獨立洗曬。垃圾採子母車回收。禁止八大行業承租。清潔費：無寵物2500元/次，有寵物3500元/次。收訂後須於24小時內完成簽約。建物名稱：鴻福名人華廈。,1.jpg|2.jpg|3.jpg|4.jpg|5.jpg|6.jpg,1,1,1,1,,1,
yucai31,draft,北區,金外3-1,育才街,住宅,電梯套房,7100,3F,〔待補充〕,禁寵,租金全包，電費5元/度，水費200元/人/月，含網路、電視。垃圾採子母車回收。禁菸，禁養寵物。退租清潔費1300元。電梯大樓。可申請租金補貼。,,1,,,1,,,
yucai41,draft,北區,金外4-1,育才街,住宅,電梯套房,7400,4F,〔待補充〕,禁寵,租金全包，電費5元/度，水費200元/人/月，含網路、電視。垃圾採子母車回收。禁菸，禁養寵物。退租清潔費1300元。電梯大樓。可申請租金補貼。,,1,,,1,,,
yizhong4b,draft,北區,4B,一中街,住宅,電梯套房,7000,4F,〔待補充〕,禁寵,租金全包，電費5元/度，備有飲水機。垃圾採子母車回收，另有共用投幣洗衣機。禁菸，禁養寵物，限女性單人居住。電梯大樓。可申請租金補貼。,1.jpg|2.jpg|3.jpg|4.jpg|5.jpg|6.jpg,1,,,1,,,
